Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
6,3.0,8/5/2016 1:39:41,Unknown,2016,TP,7
8,3.0,8/5/2016 1:40:47,Unknown,2016,TP,7
8,3.0,8/5/2016 1:40:50,Unknown,2016,TP,7
8,4.0,8/5/2016 1:42:44,Unknown,2016,TP,7
10,4.0,8/5/2016 1:45:13,Unknown,2016,TP,7
8,3.0,8/5/2016 1:45:39,Unknown,2016,TP,7
8,3.0,8/5/2016 1:49:21,Unknown,2016,TP,7
10,3.0,8/8/2016 1:30:34,Unknown,2016,TP,7
10,3.0,8/8/2016 1:33:45,Unknown,2016,TP,7
10,3.0,8/8/2016 1:49:29,Unknown,2016,TP,7
6,3.0,8/8/2016 1:51:00,Unknown,2016,TP,7
6,4.0,7/31/2016 1:04:57,Unknown,2016,TK,6
8,3.0,7/31/2016 3:38:14,Unknown,2016,TK,6
8,1.0,7/31/2016 3:59:43,Unknown,2016,TK,6
8,2.0,7/31/2016 4:19:51,Unknown,2016,TK,6
10,4.0,7/31/2016 5:14:20,Unknown,2016,TK,6
6,3.0,7/31/2016 6:50:12,Unknown,2016,TK,6
10,5.0,7/31/2016 15:23:52,Unknown,2016,TK,6
8,2.0,7/31/2016 16:49:45,Unknown,2016,TK,6
6,4.0,8/1/2016 1:18:47,Unknown,2016,TK,6
10,3.0,8/1/2016 1:30:17,Unknown,2016,TK,6
10,3.0,8/1/2016 1:30:17,Unknown,2016,TK,6
8,4.0,8/1/2016 6:15:10,Unknown,2016,TK,6
8,3.0,8/1/2016 7:56:08,Unknown,2016,TK,6
4,3.0,6/23/2016 22:24:53,Unknown,2016,SG,1
4,3.0,6/27/2016 4:03:03,Unknown,2016,SG,1
6,3.0,6/23/2016 22:13:04,Unknown,2016,SG,1
8,4.0,6/23/2016 22:09:23,Unknown,2016,SG,1
8,4.0,6/23/2016 22:11:39,Unknown,2016,SG,1
8,4.0,6/23/2016 22:11:44,Unknown,2016,SG,1
8,3.0,6/23/2016 22:13:25,Unknown,2016,SG,1
8,3.0,6/23/2016 22:15:33,Unknown,2016,SG,1
8,4.0,6/23/2016 22:41:02,Unknown,2016,SG,1
8,3.0,6/23/2016 23:56:36,Unknown,2016,SG,1
8,3.0,6/25/2016 22:17:48,Unknown,2016,SG,1
10,5.0,6/23/2016 22:13:09,Unknown,2016,SG,1
6,2.0,8/5/2016 11:22:50,Intro,2016,LA,7
10,3.0,8/5/2016 11:23:13,Intro,2016,LA,7
8,2.0,8/5/2016 11:24:20,Games,2016,LA,7
8,3.0,8/5/2016 11:29:26,Intro,2016,LA,7
8,3.0,8/5/2016 11:31:08,Games,2016,LA,7
10,3.0,8/5/2016 11:57:53,Games,2016,LA,7
8,4.0,8/5/2016 13:23:30,Intro,2016,LA,7
10,3.0,8/5/2016 13:58:27,Games,2016,LA,7
10,3.0,8/5/2016 14:00:14,Games,2016,LA,7
10,3.0,7/15/2016 15:26:38,Apps,2016,SF,4
8,3.0,7/15/2016 15:31:37,Apps,2016,SF,4
8,4.0,7/15/2016 15:32:59,Apps,2016,SF,4
6,4.0,7/15/2016 16:18:00,Apps,2016,SF,4
8,4.0,7/15/2016 16:19:09,Apps,2016,SF,4
6,4.0,7/15/2016 16:21:25,Apps,2016,SF,4
8,3.0,7/15/2016 17:34:39,Apps,2016,SF,4
10,3.0,7/15/2016 20:20:33,Apps,2016,SF,4
8,3.0,7/15/2016 20:39:49,Apps,2016,SF,4
8,3.0,7/16/2016 12:46:10,Apps,2016,SF,4
10,2.0,7/17/2016 16:27:57,Apps,2016,SF,4
8,3.0,7/15/2016 15:30:54,Games,2016,SF,4
8,3.0,7/15/2016 15:54:54,Games,2016,SF,4
10,4.0,7/15/2016 19:08:37,Games,2016,SF,4
10,5.0,7/16/2016 9:18:45,Games,2016,SF,4
10,3.0,7/17/2016 17:05:09,Games,2016,SF,4
10,4.0,7/14/2016 14:05:15,Intro,2016,SF,4
6,4.0,7/14/2016 14:06:20,Intro,2016,SF,4
8,4.0,7/14/2016 15:04:21,Intro,2016,SF,4
6,5.0,7/14/2016 15:47:33,Intro,2016,SF,4
8,4.0,7/15/2016 15:15:37,Intro,2016,SF,4
8,3.0,7/15/2016 16:03:37,Intro,2016,SF,4
6,3.0,7/15/2016 16:05:04,Intro,2016,SF,4
8,3.0,7/15/2016 16:20:07,Intro,2016,SF,4
10,3.0,7/16/2016 13:12:50,Intro,2016,SF,4
8,4.0,7/17/2016 21:45:33,Intro,2016,SF,4
10,3.0,7/19/2016 11:46:56,Intro,2016,SF,4
10,3.0,7/15/2016 17:02:43,VR,2016,SF,4
8,3.0,7/16/2016 18:46:18,VR,2016,SF,4
6,4.0,7/18/2016 8:27:48,VR,2016,SF,4
6,4.0,7/18/2016 8:35:24,VR,2016,SF,4
8,3.0,7/22/2016 12:52:43,Apps,2016,SV,5
10,3.0,7/22/2016 12:53:47,Apps,2016,SV,5
6,3.0,7/23/2016 14:14:16,Apps,2016,SV,5
4,3.0,7/22/2016 14:37:17,Apps,2016,SV,5
